Ano,Vencedor,Perdedor,Fase,Campeonato
2024,Corinthians,Grêmio,Oitavas de final,Copa do Brasil
2024,Atlético,São Paulo,Quartas de final,Copa do Brasil
2024,Botafogo,São Paulo,Quartas de final,Libertadores
2024,Botafogo,Atlético,Final,Libertadores
2024,Atlético,Fluminense,Quartas de final,Libertadores
2024,Fluminense,Grêmio,Oitavas de final,Libertadores
2024,Botafogo,Palmeiras,Oitavas de final,Libertadores
2024,Flamengo,Atlético,Final,Copa do Brasil
2024,Atlético,Vasco,Semifinal,Copa do Brasil
2025,Corinthians,Palmeiras,Oitavas de final,Copa do Brasil
2025,Flamengo,Palmeiras,Final,Libertadores
2025,Flamengo,Internacional,Oitavas de final,Libertadores
2025,Corinthians,Cruzeiro,Semifinal,Copa do Brasil
2025,Cruzeiro,Atlético,Quartas de final,Copa do Brasil
2025,Fluminense,Internacional,Oitavas de final,Copa do Brasil
2025,Atlético,Flamengo,Oitavas de final,Copa do Brasil
2025,Vasco,Fluminense,Semifinal,Copa do Brasil
2025,Flamengo,Botafogo,Final,Supercopa do Brasil
2025,Vasco,Botafogo,Quartas de final,Copa do Brasil
2025,Corinthians,Vasco,Final,Copa do Brasil
2026,Corinthians,Flamengo,Final,Supercopa do Brasil
