"id_jogo","rodada","data","time_mandante","gols_mandante","gols_visitante","time_visitante","detalhes","pontos_mandante","pontos_visitante"
94,8,2003-05-11,"Guarani",3,0,"Internacional","Rodrigão 17'p, 72', Wilson 46'og",3,0
95,8,2003-05-11,"Atlético-PR",2,0,"Juventude","Ilan 13', 25'",3,0
96,8,2003-05-11,"Figueirense",3,0,"São Caetano","William Fabro 33', 86', Danilo 79'",3,0
97,9,2003-05-17,"Fluminense",3,0,"Figueirense","Jancarlos 4', Rodolfo Bispo 43', 51'",3,0
98,9,2003-05-17,"Juventude",1,1,"Santos","João Paulo Daniel 19'; Índio 33'og",1,1
99,9,2003-05-17,"São Caetano",2,0,"Atlético-MG","Scheidt 51'og, Luís Carlos Capixaba 82'",3,0
100,9,2003-05-18,"Bahia",2,0,"Paysandu","Nonato 48', 89'",3,0
101,9,2003-05-18,"São Paulo",2,0,"Paraná","Kaká 18', Aílton Correia 66'",3,0
102,9,2003-05-18,"Flamengo",1,1,"Guarani","Fernando Baiano 67'; Creedence 80'",1,1
103,9,2003-05-18,"Coritiba",1,1,"Vasco da Gama","Aparecido Lima 81'; Wellington Paulo 44'",1,1
104,9,2003-05-18,"Fortaleza",1,0,"Goiás","Vinícius de Abreu 62'",3,0
105,9,2003-05-18,"Cruzeiro",1,1,"Corinthians","Deivid 51'; Gil 32'",1,1
106,9,2003-05-18,"Ponte Preta",2,1,"Grêmio","Sérgio Alves 57', Romeu 63'; Rodrigo Fabri 21'",3,0
107,9,2003-05-18,"Criciúma",1,1,"Vitória","Luciano Ferreira 87'; Nádson 41'",1,1
108,9,2003-05-18,"Internacional",1,1,"Atlético-PR","Nilmar 27'; Dagoberto 7'",1,1
109,10,2003-05-24,"Atlético-MG",3,0,"Fluminense","Alexandre 23', Fábio Júnior 68', 72'",3,0
110,10,2003-05-24,"Corinthians",3,0,"Juventude","Gil 20', 53', Rogério Régis 57'",3,0
111,10,2003-05-24,"Vasco da Gama",1,0,"Ponte Preta","Wellington Paulo 87'p",3,0
112,10,2003-05-24,"Paraná",1,1,"São Caetano","Marcinho 13'; Marquinhos 35'",1,1
113,10,2003-05-25,"Atlético-PR",4,1,"Flamengo","Ilan 12', 17', 62', Adriano Vieira 57'; Fernando Baiano 49'",3,0
114,10,2003-05-25,"Paysandu",1,3,"Coritiba","Robgol 41'; Marcel 15', Edinho Baiano 24', Jackson 64'",0,3
115,10,2003-05-25,"Goiás",0,2,"Criciúma","Paulo Baier 49', Luciano Almeida 57'",0,3
116,10,2003-05-25,"Grêmio",1,2,"São Paulo","Ânderson Lima 33'; Júlio Baptista 8', Luís Fabiano 54'",0,3
117,10,2003-05-25,"Guarani",2,1,"Fortaleza","Rodrigão 37'p, Wágner 76'; Fabrício 60'",3,0
118,10,2003-05-25,"Figueirense",1,0,"Bahia","Léo Macaé 41'",3,0
119,10,2003-05-25,"Vitória",2,1,"Cruzeiro","Adaílton 42', Allann Delon 66'; Márcio 71'",3,0
120,10,2003-05-25,"Santos",2,1,"Internacional","Fabiano Costa 55', William 78'; Edu Silva 44'",3,0
121,11,2003-05-31,"Fluminense",2,1,"Atlético-PR","Sorato 8', Jadílson 52'; Ilan 85'",3,0
122,11,2003-05-31,"Internacional",2,1,"Paysandu","Wilson 46', Daniel Carvalho 83'; Wélber 21'",3,0
123,11,2003-05-31,"Cruzeiro",2,0,"Criciúma","Mota 63', Márcio 86'",3,0
124,11,2003-05-31,"Coritiba",3,2,"Guarani","Tcheco 58', Marcel 65', Aparecido Lima 75'; Rodrigão 27', 90+1'",3,0
125,11,2003-05-31,"Ponte Preta",0,0,"São Caetano","",1,1
126,11,2003-06-01,"Paraná",6,2,"Flamengo","Cristiano Ávalos 30', Ageu 43', Flávio Guilherme 46', Marquinhos 54', 61', Caio 90+1'; Fabiano Eller 24', Paulo Miranda 77'",3,0
127,11,2003-06-01,"Vasco da Gama",2,2,"Atlético-MG","Wellington Paulo 50', Ely Thadeu 74'; Fábio Júnior 12', Lúcio Flávio 80'",1,1
128,11,2003-06-01,"Bahia",2,1,"Goiás","Nonato 47', Luiz Fernando 88'; Dimba 29'",3,0
129,11,2003-06-01,"Corinthians",4,0,"Vitória","Liédson 39', 46', 63', 87'",3,0
130,11,2003-06-01,"Santos",3,2,"São Paulo","Diego Ribas 15', Fabiano Costa 57', Renato Florêncio 81'; Luís Fabiano 34'p, Rico 73'",3,0
131,11,2003-06-01,"Fortaleza",3,1,"Juventude","Kel 5', Marcos Paulo 40', Alysson 58'; Gustavo Martins 45+2'",3,0
132,11,2003-06-01,"Figueirense",2,1,"Grêmio","Pedro Alves 24', Evair 30'; Ânderson Lima 82'",3,0
133,12,2003-06-07,"Vitória",2,1,"Fluminense","Nadson 12', 18'; Sorato 89'",3,0
134,12,2003-06-07,"Guarani",1,2,"Santos","Wagner 31'; Douglas 74', Elano 77'",0,3
