id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
141,Botafogo,0,2,Coritiba,13,2002,Sep 21,0,3, [Jabá 24' 86']
142,Portuguesa,0,1,Cruzeiro,13,2002,Sep 21,0,3, [Alessandro 75']
143,Figueirense,1,0,Palmeiras,13,2002,Sep 21,3,0, [Selmir 38']
144,Santos,1,1,Goiás,13,2002,Sep 21,1,1, [Elano 39'; Araújo 34']
145,Vasco da Gama,1,1,Internacional,13,2002,Sep 22,1,1, [Ely Thadeu 73'; Fernando Baiano 56']
146,Corinthians,2,1,Paraná,13,2002,Sep 22,3,0," [Guilherme 83', 86'; Márcio 21']"
147,Atlético-MG,0,3,Flamengo,13,2002,Sep 22,0,3," [Liédson 48', 62'; Zé Carlos 58']"
148,Atlético-PR,1,1,São Paulo,13,2002,Sep 22,1,1, [Dagoberto 74'; Ricardinho 87']
149,Paysandu,4,3,Ponte Preta,13,2002,Sep 22,3,0," [Jóbson 21', 48', Rato 63', Wélber 76'; Humberto 41', 50', Fabrício Carvalho 43']"
150,Guarani,0,0,Juventude,13,2002,Sep 22,1,1,NA
151,São Caetano,1,0,Bahia,13,2002,Sep 22,3,0, [Daniel 18']
152,Grêmio,4,0,Vitória,13,2002,Sep 22,3,0," [Rodrigo Fabri 2', 61', 85', Emerson 83']"
153,São Paulo,1,2,Atlético-MG,14,2002,Sep 25,0,3," [Júlio Baptista 87'; Mancini 11', Paulinho 84']"
154,Cruzeiro,4,0,Vasco da Gama,14,2002,Sep 25,3,0," [Marcelo Ramos 32', Paulo Miranda 45', Fábio Júnior 53', Alessandro 68']"
155,Internacional,1,0,Bahia,14,2002,Sep 25,3,0, [Mahicon Librelato 40']
156,Fluminense,0,1,Atlético-PR,14,2002,Sep 25,0,3, [Adriano Vieira 46']
157,Paraná,1,2,Guarani,14,2002,Sep 25,0,3," [Márcio 41'; Sérgio Alves 35', 58']"
158,Vitória,2,2,São Caetano,14,2002,Sep 25,1,1," [Alessandro 66', Nadson 90+2'; Adhemar 45+1', Wágner 60']"
159,Ponte Preta,3,2,Figueirense,14,2002,Sep 25,3,0," [Humberto 20', Hernâni 50', Farício Carvalho 54'; André Luís 25', Thiago Gentil 61']"
